Country,RIC,Company Name,GICS Sector ,GICS Industry
Hong Kong,2262.HK,Steve Leung Design Group Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,8439.HK,Somerley Capital Holdings Ltd,Financials,Capital Markets
Hong Kong,6908.HK,HG Semiconductor Ltd,Information Technology,Semiconductors & Semiconductor Equipment
Hong Kong,8427.HK,WS-SK Target Group Ltd,Materials,Construction Materials
Hong Kong,1410.HK,Edvance International Holdings Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,1536.HK,Yuk Wing Group Holdings Ltd,Industrials,Machinery
Hong Kong,1827.HK,Miricor Enterprises Holdings Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,8395.HK,ZXZN Qi-House Holdings Ltd,Consumer Discretionary,Distributors
Hong Kong,8428.HK,CBK Holdings Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,2266.HK,Lai Si Enterprise Holding Ltd,Industrials,Construction & Engineering
Hong Kong,8152.HK,M&L Holdings Group Ltd,Industrials,Trading Companies & Distributors
Hong Kong,1742.HK,HPC Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,3830.HK,Kiddieland International Ltd,Consumer Discretionary,Leisure Products
Hong Kong,7200.HK,CSOP Hang Seng Index Daily (2x) Leveraged,,
Hong Kong,7288.HK,CSOP Hang Seng China Etp Dly (2X) Leveraged,,
Hong Kong,7300.HK,CSOP Hang Seng Index Daily (-1x) Inverse,,
Hong Kong,7588.HK,CSOP Hang Seng China Etp Dly (-2X) Inverse,,
Hong Kong,8347.HK,F8 Enterprises (Holdings) Group Ltd,Energy,"Oil, Gas & Consumable Fuels"
Hong Kong,2001.HK,China New Higher Education Group Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,1655.HK,Okura Holdings Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,3860.HK,EPS Creative Health Technology Group Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,8431.HK,Hao Bai International (Cayman) Ltd,Industrials,Construction & Engineering
Hong Kong,6038.HK,G & M Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,2269.HK,WuXi Biologics (Cayman) Inc,Health Care,Life Sciences Tools & Services
Hong Kong,1551.HK,Guangzhou Rural Commercial Bank Co Ltd,Financials,Banks
Hong Kong,8362.HK,Winning Tower Group Holdings Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,8297.HK,Ocean Star Technology Group Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,6069.HK,SY Holdings Group Ltd,Financials,Financial Services
Hong Kong,1732.HK,Xiangxing International Holding Ltd,Industrials,Marine Transportation
Hong Kong,3848.HK,Haosen Fintech Group Ltd,Financials,Financial Services
Hong Kong,1695.HK,S&P International Holding Ltd,Consumer Staples,Food Products
Hong Kong,6088.HK,Foxconn Interconnect Technology Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,8471.HK,Reach New Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,6928.HK,TOMO Holdings Ltd,Consumer Discretionary,Automobile Components
Hong Kong,8257.HK,Genes Tech Group Holdings Co Ltd,Information Technology,Semiconductors & Semiconductor Equipment
Hong Kong,1216.HK,Zhongyuan Bank Co Ltd,Financials,Banks
Hong Kong,6182.HK,Twintek Investment Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,2683.HK,Wah Sun Handbags International Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,82823.HK,IShares Asia Trust IShares FTSE China A50 ETF,,
Hong Kong,8501.HK,Sanbase Corporation Ltd,Industrials,Construction & Engineering
Hong Kong,8040.HK,Coolpoint Innonism Holding Ltd,Industrials,Construction & Engineering
Hong Kong,2022.HK,Digital Hollywood Interactive Ltd,Communication Services,Entertainment
Hong Kong,8136.HK,IMS Group Holdings Ltd,Industrials,Electrical Equipment
Hong Kong,9689.HK,JTF International Holdings Ltd,Energy,"Oil, Gas & Consumable Fuels"
Hong Kong,1183.HK,MECOM Power and Construction Ltd,Industrials,Construction & Engineering
Hong Kong,8456.HK,Mansion International Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,8483.HK,Max Sight Group Holdings Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,3309.HK,C-Mer Medical Holdings Ltd,Health Care,Health Care Providers & Services
Hong Kong,1735.HK,Central New Energy Holding Group Ltd,Industrials,Construction & Engineering
Hong Kong,8473.HK,MI Ming Mart Holdings Ltd,Consumer Discretionary,Specialty Retail
Hong Kong,8523.HK,Sheung Moon Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,8426.HK,Modern Living Investments Holdings Ltd,Real Estate,Real Estate Management & Development
Hong Kong,8422.HK,WT Group Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,1693.HK,BGMC International Ltd,Industrials,Construction & Engineering
Hong Kong,2863.HK,Golden Faith Group Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,1722.HK,Kin Pang Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,1737.HK,A & S Group (Holdings) Limited,Industrials,Air Freight & Logistics
Hong Kong,8367.HK,Simplicity Holding Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,8371.HK,Taste . Gourmet Group Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,6036.HK,Apex Ace Holding Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,8285.HK,Sling Group Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,2122.HK,Kidsland International Holdings Ltd,Consumer Discretionary,Specialty Retail
Hong Kong,1729.HK,Time Interconnect Technology Ltd,Industrials,Electrical Equipment
Hong Kong,1975.HK,Sun Hing Printing Holdings Ltd,Industrials,Commercial Services & Supplies
Hong Kong,8350.HK,Well Link Securities Holdings Ltd,Financials,Capital Markets
Hong Kong,8406.HK,China Oral Industry Group Holdings Ltd,Consumer Discretionary,Leisure Products
Hong Kong,8487.HK,ISP Global Ltd,Information Technology,Communications Equipment
Hong Kong,1552.HK,BHCC Holding Ltd,Industrials,Construction & Engineering
Hong Kong,1815.HK,CSMall Group Ltd,Consumer Discretionary,Specialty Retail
Hong Kong,0839.HK,China Education Group Holdings Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,2025.HK,Ruifeng Power Group Company Ltd,Consumer Discretionary,Automobile Components
Hong Kong,8401.HK,Stream Ideas Group Ltd,Communication Services,Media
Hong Kong,1978.HK,LH Group Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,8510.HK,Top Standard Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,1451.HK,MS Group Holdings Ltd,Materials,Containers & Packaging
Hong Kong,8532.HK,Polyfair Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,1710.HK,Trio Industrial Electronics Group Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,8491.HK,Cool Link (Holdings) Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,1651.HK,Precision Tsugami (China) Corporation Ltd,Industrials,Machinery
Hong Kong,6966.HK,China Wan Tong Yuan (Holdings) Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,1750.HK,REM Group (Holdings) Ltd,Industrials,Electrical Equipment
